1,2,3,4,5,6,7,8,9,10
0.88978,-0.096006,-0.051752,-0.054033,-0.00047648,0.0089153,0.11498,-0.026557,0.11775,0.030235
-0.081475,0.81286,0.020497,0.085316,-0.017178,0.10438,0.020391,0.078923,-0.056492,0.079548
-0.050339,0.017499,0.87517,0.021328,0.20593,-0.21424,0.09513,0.0070455,0.091835,0.062777
-0.051855,0.092531,0.020629,0.86147,-0.091473,0.083008,0.12415,-0.078476,0.19277,-0.059531
-0.0029646,-0.019169,0.18571,-0.086068,0.80185,0.25993,0.029743,-0.12899,0.0009012,-0.087398
0.007176,0.087391,-0.18151,0.063418,0.23368,0.71581,0.056147,-0.082709,0.089637,0.0052878
0.09697,0.022733,0.086731,0.11298,0.026317,0.060412,0.78412,0.17312,-0.15581,0.034165
-0.027332,0.086059,0.0013275,-0.080612,-0.13601,-0.096191,0.1787,0.82547,0.08883,-0.065573
0.1079,-0.059182,0.089659,0.18685,0.00069519,0.096939,-0.16154,0.087436,0.84085,0.064251
0.030896,0.081945,0.063928,-0.061577,-0.10361,0.0065134,0.035552,-0.069911,0.07358,0.87429
